,Dispay_inch,Hard_disk,Name,Operating_system,Price,Processor,RAM
135,39.62 cm (15.6 inch) Display,1 TB HDD,Dell Inspiron 15 3000 Core i3 6th Gen ,64 bit Windows 10 Operating System,"₹39,085",Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM
136,35.56 cm (14 inch) Display,256 GB SSD,Nexstgo Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹79,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
137,35.56 cm (14 inch) Display,1 TB HDD|128 GB SSD,HP 14 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹66,690",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
138,39.62 cm (15.6 inch) Display,1 TB HDD,Dell 3000 Core i5 8th Gen ,Linux/Ubuntu Operating System,"₹48,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
139,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
140,39.62 cm (15.6 inch) Display,1 TB HDD,Asus Vivobook Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹27,690",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
141,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Asus ROG Strix Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹85,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
142,29.46 cm (11.6 inch) Display,500 GB HDD,Asus Celeron Dual Core ,64 bit Windows 10 Operating System,"₹18,999",Intel Celeron Dual Core Processor,2 GB DDR3 RAM
143,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
144,39.62 cm (15.6 inch) Display,2 TB HDD,Lenovo Ideapad 520 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹85,490",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
145,35.56 cm (14 inch) Display,256 GB SSD,Lenovo Ideapad 330s Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹37,999",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
146,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,HP Omen Core i5 9th Gen ,64 bit Windows 10 Operating System,"₹79,990",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM
147,39.62 cm (15.6 inch) Display,1 TB HDD,Asus Vivobook Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹32,790",Intel Core i3 Processor (7th Gen),8 GB DDR RAM
148,33.78 cm (13.3 inch) Display,256 GB SSD,Acer Swift 3 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
149,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
150,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 APU Dual Core E2 ,64 bit Windows 10 Operating System,"₹22,750",AMD APU Dual Core E2 Processor,4 GB DDR4 RAM
151,35.56 cm (14 inch) Display,512 GB SSD,Nexstgo Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹1,02,990",Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM
152,39.62 cm (15.6 inch) Display,1 TB HDD,Asus VivoBook 15 Ryzen 3 Dual Core ,64 bit Windows 10 Operating System,"₹31,990",AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM
153,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
154,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,Dell Inspiron 15 7000 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹79,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
155,33.78 cm (13.3 inch) Display,512 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹73,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
156,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,Asus ROG Strix Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹82,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
157,35.56 cm (14 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹41,330",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
158,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Asus VivoBook 15 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹70,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
159,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
160,35.56 cm (14 inch) Display,1 TB HDD,HP G7 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹59,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
161,39.62 cm (15.6 inch) Display,1 TB HDD,Asus Vivobook Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹52,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
162,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Asus ROG Strix Hero III Core i7 9th Gen ,64 bit Windows 10 Operating System,"₹1,39,990",Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM
163,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
164,1 TB HDD|512 GB SSD,64 bit Windows 10 Operating System,MSI Raider Core i7 8th Gen ,16 GB DDR4 RAM,"₹1,94,990",NVIDIA GeForce RTX 2070,Intel Core i7 Processor (8th Gen)
165,64 bit Windows 10 Operating System,16 GB DDR3 RAM,Dell Inspiron 5000 Core i7 6th Gen ,Intel Core i7 Processor (6th Gen),"₹87,990",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
166,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 APU Dual Core A9 ,64 bit Windows 10 Operating System,"₹25,388",AMD APU Dual Core A9 Processor,4 GB DDR4 RAM
167,35.56 cm (14 inch) Touchscreen Display,1 TB HDD|128 GB SSD,HP Pavilion x360 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹78,490",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
168,1 TB HDD,64 bit Windows 10 Operating System,Asus VivoBook S15 Core i5 8th Gen ,8 GB DDR4 RAM,"₹57,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i5 Processor (8th Gen)
169,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
170,1 TB HDD,64 bit Windows 10 Operating System,Asus Core i3 7th Gen ,8 GB DDR4 RAM,"₹45,000","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i3 Processor (7th Gen)
171,Dual Fans Intelligent Hyper Cooling Design,Dual Speaker with Built-in Smart Amplifier Technology Delivers Louder in Game Audio Upto 200% Higher Volume,Asus ROG Strix Hero Edition Core i7 7th Gen ,NVIDIA Geforce GTX 1050 for Desktop Level Performance,"₹1,04,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Sonic Studio Software with in Game Noise Cancellation and Voice Volume Stabilization Technology
172,35.56 cm (14 inch) Display,1 TB HDD,Lenovo Ideapad 330s Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹38,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
173,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
174,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15q APU Dual Core E2 ,64 bit Windows 10 Operating System,"₹24,335",AMD APU Dual Core E2 Processor,4 GB DDR4 RAM
175,8 GB DDR4 RAM,Intel Core i7 Processor (7th Gen),MSI GL Core i7 7th Gen ,Full HD LED Backlit Anti-glare Display for Better Visual Experience,"₹95,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",NVIDIA Geforce GTX 1050 for Desktop Level Performance
176,35.56 cm (14 inch) Display,1 TB HDD,HP G7 Core i5 8th Gen ,DOS Operating System,"₹46,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
177,1 TB HDD|256 GB SSD,64 bit Windows 10 Operating System,Asus ROG Strix Hero II Core i7 8th Gen ,16 GB DDR4 RAM,"₹1,64,990",NVIDIA GeForce RTX 2060,Intel Core i7 Processor (8th Gen)
178,1 TB HDD,64 bit Windows 10 Operating System,Lenovo Core i5 7th Gen ,8 GB DDR4 RAM,"₹57,309","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i5 Processor (7th Gen)
179,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
180,1 Year Limited Hardware Warranty,25.4 cm (10 inch) Touchscreen Display,Microsoft Surface Go Pentium Gold ,64 bit Windows 10 Operating System,"₹37,999",Intel Pentium Gold Processor,4 GB DDR3 RAM
181,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹44,253",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
182,39.62 cm (15.6 inch) Display,1 TB SSD,Asus ROG Zephyrus S Core i7 9th Gen ,64 bit Windows 10 Operating System,"₹2,39,990",Intel Core i7 Processor (9th Gen),24 GB DDR4 RAM
183,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
184,256 GB SSD,64 bit Windows 10 Operating System,Acer Spin 5 Core i3 7th Gen ,4 GB DDR4 RAM,"₹51,999","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i3 Processor (7th Gen)
185,39.62 cm (15.6 inch) Display,500 GB HDD,HP 15 APU Dual Core A9 ,64 bit Windows 10 Operating System,"₹29,183",AMD APU Dual Core A9 Processor,4 GB DDR4 RAM
186,43.94 cm (17.3 inch) Display,1 TB SSD,Asus ROG Zephyrus S Core i7 9th Gen ,64 bit Windows 10 Operating System,"₹2,99,990",Intel Core i7 Processor (9th Gen),32 GB DDR4 RAM
187,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15q Ryzen 5 Quad Core ,64 bit Windows 10 Operating System,"₹39,990",AMD Ryzen 5 Quad Core Processor,4 GB DDR4 RAM
188,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,MSI Core i7 9th Gen ,64 bit Windows 10 Operating System,"₹1,48,990",Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM
189,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
190,43.94 cm (17.3 inch) Display,1 TB HDD|1 TB SSD,Asus ROG Core i9 9th Gen ,64 bit Windows 10 Operating System,"₹3,99,990",Intel Core i9 Processor (9th Gen),32 GB DDR4 RAM
191,33.78 cm (13.3 inch) Display,256 GB SSD,Apple MacBook Pro Core i5 ,Mac OS Operating System,"₹1,34,990",Intel Core i5 Processor,8 GB DDR3 RAM
192,35.56 cm (14 inch) Display,1 TB HDD,Lenovo Ideapad 500 Core i5 6th Gen ,64 bit Windows 10 Operating System,"₹48,999",Intel Core i5 Processor (6th Gen),4 GB DDR3 RAM
193,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
194,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 APU Dual Core A9 ,DOS Operating System,"₹27,775",AMD APU Dual Core A9 Processor,4 GB DDR4 RAM
195,39.62 cm (15.6 inch) Display,1 TB HDD|1 TB SSD,Alienware 15 Core i9 8th Gen ,64 bit Windows 10 Operating System,"₹3,21,609",Intel Core i9 Processor (8th Gen),32 GB DDR4 RAM
196,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,Dell G3 Series Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹77,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
197,31.24 cm (12.3 inch) Touchscreen Display,256 GB SSD,Microsoft Surface Pro 6 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹1,05,999",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
198,Intel Core i7 Processor (7th Gen),Full HD LED Backlit Display,MSI GL Core i7 7th Gen ,NVIDIA Geforce GTX 1050 for Desktop Level Performance,"₹79,990",2.8 GHz with Turbo Boost Upto 3.8 GHz Clock Speed,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
199,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
200,NVIDIA Geforce GTX 1050Ti for Desktop Level Performance,128 GB SSD for Reduced Boot Up Time and in Game Loading,MSI GL Core i7 7th Gen ,Dual Fan Cooling Technology Provides Highest Level of Cooling Design,"₹99,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Upgradable SSD Upto 512 GB
201,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,Dell G7 Series Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹1,31,602",Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM
202,128 GB SSD,64 bit Windows 10 Operating System,Acer Aspire Core i3 6th Gen ,4 GB DDR4 RAM,"₹49,449","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i3 Processor (6th Gen)
203,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
204,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,MSI Core i7 9th Gen ,64 bit Windows 10 Operating System,"₹1,33,990",Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM
205,39.62 cm (15.6 inch) Display,1 TB HDD|512 GB SSD,MSI Core i7 9th Gen ,64 bit Windows 10 Operating System,"₹1,94,990",Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM
206,33.78 cm (13.3 inch) Display,256 GB SSD,HP Pavilion 13 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹79,251",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
207,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15q Ryzen 3 Dual Core ,64 bit Windows 10 Operating System,"₹27,490",AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM
208,33.78 cm (13.3 inch) Display,256 GB SSD,HP Envy 13 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹94,490",Intel Core i7 Processor (8th Gen),8 GB DDR3 RAM
209,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
210,34.29 cm (13.5 inch) Touchscreen Display,128 GB SSD,Microsoft Surface Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹81,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
211,35.56 cm (14 inch) Touchscreen Display,512 GB SSD,Lenovo Yoga 530 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹83,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
212,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,HP 15 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹1,26,873",Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM
213,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
214,512 GB SSD,64 bit Windows 10 Operating System,Microsoft Surface Pro Core i7 7th Gen ,16 GB DDR3 RAM,"₹1,82,999","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i7 Processor (7th Gen)
215,39.62 cm (15.6 inch) Display,1 TB HDD,Asus F570ZD Ryzen 5 Quad Core ,64 bit Windows 10 Operating System,"₹52,990",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM
216,1 TB HDD|1 TB SSD,64 bit Windows 10 Operating System,AGB Octev Core i7 7th Gen ,32 GB DDR4 RAM,"₹93,999",128GB SSD for reduced boot up time and in-game loading,Intel Core i7 Processor (7th Gen)
217,33.78 cm (13.3 inch) Touchscreen Display,512 GB SSD,HP Spectre x360 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹1,72,725",Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM
218,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330S Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹58,950",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
219,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
220,Intel Core i7 Processor (7th Gen),Full HD LED Backlit Ultra Slim 300-nits Anti-glare Display,Asus ROG Core i7 7th Gen ,NVIDIA Geforce GTX 1050 for Desktop Level Performance,"₹1,07,990",2.8 GHz with Turbo Boost Upto 3.8 GHz Clock Speed,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
221,39.62 cm (15.6 inch) Display,2 TB HDD,Lenovo Ideapad 520 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹59,890",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
222,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Dell Inspiron 5000 Core i5 7th Gen ,Intel Core i5 Processor (7th Gen),"₹59,980",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
223,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
224,1 TB HDD,64 bit Windows 10 Operating System,Asus APU Dual Core A6 ,4 GB DDR4 RAM,"₹19,490",HD LCD Anti-glare Display,AMD APU Dual Core A6 Processor
225,1 TB HDD,64 bit Windows 10 Operating System,Dell Core i5 5th Gen ,8 GB DDR3 RAM,"₹69,500","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i5 Processor (5th Gen)
226,33.78 cm (13.3 inch) Touchscreen Display,512 GB SSD,Lenovo Yoga 730 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹94,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
227,1 TB HDD,64 bit Windows 10 Operating System,Lenovo Core i3 4th Gen ,4 GB DDR3 RAM,"₹36,000","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i3 Processor (4th Gen)
228,33.78 cm (13.3 inch) Touchscreen Display,512 GB SSD,Lenovo Yoga 730 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹1,09,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
229,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
230,39.62 cm (15.6 inch) Display,1 TB HDD,Asus 15.6 Ryzen 3 Dual Core ,64 bit Windows 10 Operating System,"₹31,990",AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM
231,35.56 cm (14 inch) Touchscreen Display,512 GB SSD,HP 400 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹95,568",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
232,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Asus VivoBook S15 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹87,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
233,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
234,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,Lenovo Legion Y530 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹1,04,290",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
235,33.78 cm (13.3 inch) Display,256 GB SSD,Apple MacBook Pro Core i5 7th Gen ,64 bit Mac OS Operating System,"₹1,34,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
236,39.12 cm (15.4 inch) Display,512 GB SSD,Apple MacBook Pro Core i7 7th Gen ,64 bit Mac OS Operating System,"₹2,29,990",Intel Core i7 Processor (7th Gen),16 GB DDR3 RAM
237,39.62 cm (15.6 inch) Display,1 TB HDD|512 GB SSD,AGB Tiara 2403,64 bit Windows 10 Operating System,"₹69,999",Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM
238,39.62 cm (15.6 inch) Display,2 TB HDD,Dell Inspiron 15 5000 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹72,499",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
239,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
240,35.31 cm (13.9 inch) Touchscreen Display,512 GB SSD,Lenovo Yoga C930 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹1,54,990",Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM
241,39.62 cm (15.6 inch) Display,1 TB HDD,Asus VivoBook S15 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹69,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
242,39.12 cm (15.4 inch) Display,256 GB SSD,Apple MacBook Pro Core i7 8th Gen ,Mac OS Operating System,"₹2,20,900",Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM
243,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
244,1 TB HDD|8 GB SSD,64 bit Windows 10 Operating System,HP Pavilion x360 Core i7 7th Gen ,8 GB DDR4 RAM,"₹83,490","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i7 Processor (7th Gen)
245,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,Dell G3 Series Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹89,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
246,1 TB HDD,64 bit Windows 10 Operating System,Lenovo Core i5 6th Gen ,8 GB DDR3 RAM,"₹52,500","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i5 Processor (6th Gen)
247,64 bit Windows 10 Operating System,16 GB DDR4 RAM,Dell Inspiron Core i7 7th Gen ,Intel Core i7 Processor (7th Gen),"₹1,04,697",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
248,43.94 cm (17.3 inch) Display,2 TB HDD|256 GB SSD,Acer Predator 17 Core i7 7th Gen ,64 bit Windows 10 Operating System,"₹1,86,555",Intel Core i7 Processor (7th Gen),16 GB DDR4 RAM
249,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
250,Intel Core i5 Processor (7th Gen),Full HD LED Backlit Anti-glare Display for Better Visual Experience,HP Omen Core i5 7th Gen ,128 GB SSD for Reduced Boot Up Time and in Game Loading,"₹1,37,098","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",NVIDIA Geforce GTX 1060 for Desktop Level Performance
251,39.62 cm (15.6 inch) Display,1 TB HDD,Asus X507UF Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹49,590",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
252,64 bit Windows 10 Operating System,16 GB DDR4 RAM,Acer Predator 15 Core i7 7th Gen ,Intel Core i7 Processor (7th Gen),"₹1,59,703",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
253,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
254,64 bit Windows 10 Operating System,16 GB DDR4 RAM,Dell Inspiron 13 7000 Core i7 8th Gen ,Intel Core i7 Processor (8th Gen),"₹1,02,990",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
255,33.78 cm (13.3 inch) Display,128 GB SSD,Apple MacBook Air Core i5 8th Gen ,Mac OS Operating System,"₹1,08,990",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
256,64 bit Windows 10 Operating System,4 GB DDR4 RAM,Dell Inspiron 5000 Core i5 7th Gen ,Intel Core i5 Processor (7th Gen),"₹63,500",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
257,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Z51,64 bit Windows 10 Operating System,"₹44,000",Intel Core i5 Processor (5th Gen),4 GB DDR3 RAM
258,35.56 cm (14 inch) Display,256 GB SSD,HP 14 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹59,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
259,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
